review_id,star_rating,helpful_votes,total_votes,vine,verified_purchase
R15C8CHV9YAX1Q,5,52,57,N,Y
RDDF1QAE63E98,5,35,36,N,Y
R27MUKQ161CM0J,4,36,37,N,Y
R2DVIKLCKQDK9L,2,35,43,N,Y
RQJ3GNJ7NI75F,5,29,29,N,Y
R5TA7XAXQBKKO,3,29,29,N,Y
R3HYC75E2PZHYF,2,22,25,N,Y
RUQ2UNHM8H8OK,1,56,61,N,Y
RSGAZRPSHEEOO,2,67,68,N,Y
R2XJOYNDS1AAM8,1,54,62,N,Y
R3FMRZOVU7RDO7,1,35,39,N,Y
R1L2HZAWWM5VM1,4,26,27,N,Y
RPO0B4M4WJQ4X,5,37,38,N,Y
R29F9HTF5C10DE,5,198,212,N,Y
R182IBCOKLWFHE,5,85,89,N,Y
R21BTQQT42C5Y8,5,24,30,N,N
R33GX9XXOBD13N,1,42,52,N,Y
R3KZAZAYCU7VKF,1,30,33,N,Y
R31XMFWB4MNH83,5,27,29,N,Y
R2DMYZ1GP6YDSL,5,25,27,N,Y
R37K7LDHO47JIZ,1,22,24,N,Y
R319HRPAPE5N8C,1,28,33,N,Y
R3PJGR2UROCTNF,3,45,46,N,Y
R1AOY8P3TIS6IP,5,30,32,N,Y
RO6WWB17JCQSK,5,22,25,N,Y
RLLI640RDKFXN,3,76,76,N,Y
R21AX55I6C5UAZ,3,23,27,N,N
RYQCJMMQSMTJR,2,41,47,N,Y
R1YA32FXDU1D5F,5,267,269,N,Y
R109MX9ZIYYMCK,5,36,40,N,Y
R1ER7IAZSCAD77,5,20,21,N,Y
R392MDIKRQMIYT,5,82,82,N,Y
R2GEZOLXKELL1B,4,40,42,N,Y
R1IXRG1OTU5V1C,3,20,22,N,N
R3R85L5QPBDFF9,4,25,27,N,Y
R29G7Y0E6TNEA,5,68,74,N,N
R3QW709Y1JUPP0,5,25,26,N,Y
R3CX4Y6BJ98QW6,5,38,41,N,N
R3CMO6UZG9BKQ,5,50,56,N,N
R37Q2HG8TYY4SM,4,36,40,N,N
RT7BHNML0L4ZX,4,20,23,N,Y
R33BR4F1AB345,1,30,38,N,Y
R3PUZLW0LU1BUE,5,25,27,N,Y
R2SF6ICY2LJEDL,5,35,35,N,Y
R1U222N6GT0IUL,1,23,27,N,Y
R3JKIERZTO6JY4,5,24,28,N,Y
R39T1A77A3UHY1,5,30,33,N,Y
R212ZPTNO0WBF,1,43,45,N,Y
R2JAYCRELXX1D9,5,26,27,N,Y
R3S0M7Y43KV50E,3,24,28,N,Y
R3Q1CD4L66G4HG,5,35,45,N,Y
R1GPPCH57LZ58D,5,23,25,N,Y
R2ZP0H8XEN32SI,2,31,32,N,Y
R47ZF9D7LTB8S,1,46,52,N,Y
R3ERRNVG7XQVQP,4,253,314,N,Y
R1CARU8PQMDB27,5,31,32,N,Y
R38XNN5S1AIY5L,3,48,52,N,Y
R3132OOYVBPBGX,4,30,34,N,Y
R9D6K5JCI846,5,22,22,N,Y
R2A6OWISR8VFAG,1,49,49,N,Y
R2WD08YUCRM8Z7,4,49,49,N,Y
R2UITD7J5IFJCE,5,57,58,N,Y
R3EC1PL8T3T2OP,1,40,45,N,N
R3CKM5TF9TEX4P,5,20,23,N,N
R2BKIK84BWFJFA,5,23,23,N,Y
R2GNMP9IX17Z29,2,20,24,N,Y
RZFWQQPONU3WT,5,141,144,N,Y
RGXFX43Y2OXDE,3,27,28,N,N
RVUW125MF3YIX,4,21,23,N,N
R3LD9DKG1XZL8A,3,21,22,N,N
R3JUN2IT7FUU5N,2,37,38,N,Y
R3CL4H6CH8OTTG,5,28,32,N,N
R3KVC5HCRR40WD,2,57,60,N,Y
R2AAUTXBB0BWH9,5,20,22,N,N
R2YVVJ9NOPNX50,4,36,41,Y,N
RFUL2KRHCQXCG,5,33,36,N,N
R3U0HC4CC0I8TF,1,24,26,N,Y
R289YELAA3A3FC,1,21,24,N,N
R19TIQRZACSUR1,3,32,39,N,Y
R1DKMUPDNW5LS3,3,122,132,N,Y
RMVZ0UJVYESUM,1,23,25,N,Y
R2C5SONIFHC8OX,4,28,29,N,Y
RXAP4DX665U8H,4,30,33,N,Y
R1NX2XMSGFO1Y6,5,26,27,N,Y
R2GTIODFSDP9U5,4,53,54,N,Y
R3QGGQ3WC4Y2D0,1,137,157,N,N
R2GJ8LDBPWJPKD,5,21,22,N,Y
R2RIQNPCMIEQ19,5,43,49,N,Y
R2HWQ2TN8Z8YG0,3,83,88,N,Y
RK02VQW93QEB5,2,22,23,N,Y
R3B0N67HVYSOK1,1,21,24,N,Y
R1XMX6986EX2R9,5,230,233,N,N
RFX3CSBSQFS17,1,43,44,N,Y
R29LMA0XJD981J,1,71,79,N,Y
R3MGPBCRUEKER0,5,31,34,N,Y
R1XH1LK1FWX3OS,4,214,238,Y,N
R38LSQ71G2IZGS,5,26,29,Y,N
RVSAHU94Q4OFU,5,29,30,N,Y
R1A7I2NBEN32EY,1,27,27,N,Y
R1KD0NDPY4R4GY,1,23,24,N,N
R3SE3FNFCV0641,1,23,23,N,Y
R5DH33U8MQ83T,5,125,127,N,Y
R2GUCQDYLFKVEA,5,75,104,N,N
R1OIGBAP4R550G,5,25,25,N,Y
R2MSOQTLWS4BEP,5,20,20,N,N
R1X2JSSIARE5JX,5,38,41,N,Y
R2Y8YWWSOUK9U4,5,20,21,N,Y
R6FD8W4A6ML6,5,24,24,N,Y
R3B18OHTONSIFK,5,27,27,N,Y
R3VNOHFMPIM5P5,5,143,147,N,N
R3RDONZ903H1A1,5,25,27,N,Y
R2J4G9LLXBDD79,3,27,35,N,Y
R1HNE2B5B58ZI1,5,89,91,N,Y
R2FEN1QZMZ4VFM,5,28,30,N,Y
R1QGRCLALLRPXR,1,28,44,N,Y
R36H1U4WCCL59Z,5,127,130,N,N
R1O60YOGL6ZQCC,5,107,110,N,Y
R199FPLWLN9AZ9,1,24,27,N,Y
RYT88JSXWCP0J,5,120,134,N,Y
R2C0UX19NR4M6B,5,20,20,N,Y
R9KBFJCTHLY5N,5,32,35,N,N
R2FFN55MZLECFQ,5,22,24,N,Y
R3OONHCKQOYYB3,1,27,31,N,N
RCUB9ZMJWUSYV,5,28,29,N,Y
RD6BA11YMARB7,1,24,28,N,Y
R1AI71P9XA98HK,5,27,30,N,Y
R16BSBRG0IDTCL,5,24,24,N,N
R30BCHAUMH223C,4,25,25,N,Y
R2VKGJWIIT736X,5,32,33,N,Y
R19AFTXWX8WVSJ,5,27,30,N,N
R3PIOY5KLDEOEQ,1,28,33,N,Y
R1T8706C0J5XUK,5,46,52,N,Y
RBUEG8RI9O4UW,3,23,25,N,Y
RKXTIO1QUYBXA,3,137,149,N,Y
R1K2ZHWY1NTWFL,1,70,75,N,Y
R15Y82PYDFBU99,4,29,29,N,N
R2V4T726EIY3OC,1,27,27,N,Y
R1JK9SWBM02TO4,5,37,39,N,Y
R2K6PKN9OUQ4B9,3,23,24,N,Y
R1K3NWPLSSGRQR,1,20,20,N,Y
R30C6VGJ9T2S9F,4,50,55,N,Y
R51O5AW57T71Z,5,89,97,N,N
R1YOU4HZ7HJCYS,4,20,23,N,N
R1CU5GVKRT28IF,5,43,43,N,Y
R1SRVF376DF2IA,1,27,29,N,Y
R1N0IJ0YTXG1FL,5,95,95,N,Y
R3C4IST5I841HW,4,198,200,N,N
R3F02ZUFPKEGE,5,21,21,N,Y
RYG2S30HX8U8,3,25,25,N,Y
RMQ12V1C43KEL,5,20,21,N,Y
R1YP4KLWSOCHPH,3,328,332,N,Y
R2F1VHL8OT5RHC,1,50,56,N,Y
R2J2TAOE5L0E3M,1,22,24,N,N
R1NVCXIRV3OWMQ,5,22,23,N,Y
R1S1BUSXQC481F,1,44,47,N,Y
RT3GIM9HF1IA5,5,44,44,N,Y
R341A7L1YX0XQF,1,131,141,N,Y
R301LB704T7U1E,5,38,39,N,Y
RKMTV0RWM34Z5,5,27,28,N,Y
R3BENQV8KA3Z43,2,28,36,N,Y
R20NSQ9IL6OEPI,1,31,31,N,N
R2PYTEEOX8N0V3,5,21,23,N,Y
RTE48EIGY8XHV,5,39,39,N,Y
RGY7JSLT9K8EV,5,82,90,N,Y
R228MKYRA91L4N,5,209,225,N,Y
R158G0VL91TECU,3,58,60,N,Y
R325NQQ0LOUNDW,5,24,27,N,Y
R1IC7GBA62EHIM,5,34,36,N,Y
R2H5V6JEZO5NW0,5,20,21,N,Y
RYRHFDVJPRHDU,5,33,34,N,Y
R26O2BYNO20FQ7,5,35,36,N,Y
R18T57TR8TTKV4,4,29,31,N,N
R2GKR6D2NK1OJJ,5,34,38,N,Y
R3JBTR8RASGLLJ,1,39,42,N,Y
R1Z668L7DWGMG,1,26,31,N,Y
R1DNROVOUMNGNZ,5,37,37,N,Y
R1YQ3AB2490C59,3,147,157,N,Y
RVLWDD9CBJLVG,5,21,21,N,Y
R3G9CQGHFZMVTU,4,23,27,N,Y
R1O2PPGIM0B4NL,5,41,43,N,Y
R34X5HEC6IR2BA,1,44,54,N,Y
R77X9BCMVI1HR,1,261,295,N,Y
RMSAHEWKSMMSG,5,40,41,N,Y
R38A24FU2GVGX4,3,47,50,N,Y
R2UCT0CYPPEPQH,5,42,43,N,Y
R39J5G1BRC30DP,1,49,60,N,Y
R1UZ0UPYLRR84F,4,27,27,N,Y
R1D5KJC6F8OG2G,5,26,31,N,N
R3AQ1QAYG9PSXB,5,30,32,N,Y
R22KGB4CLJZ3YM,3,35,39,N,Y
R1TYYSIC99ID0M,5,107,110,N,Y
RA72LU42P8P5O,4,38,49,N,N
R2F2XAOKW8BGZI,1,47,54,N,Y
R17U6HT5FU3KF3,5,23,23,N,Y
R2F2HGM9YONQ1X,5,37,41,N,Y
R2RYE430DBNMDD,5,62,71,N,Y
R219GBV69EURG6,1,20,20,N,Y
R1HPY1B30H402Q,5,24,25,N,Y
R17HZ9B4VHDV1S,1,61,75,N,Y
R1AZCVKY2RRLY7,5,27,29,N,Y
R36MTCBJ9PY0H6,5,30,36,N,N
R36J16UTKG9R3D,3,37,37,N,Y
RPAV8JZ60AFRZ,1,26,30,N,Y
R2KLGJZAT3VJGG,3,108,125,N,Y
RVUEX5F49OWLT,5,20,21,N,N
R18I9F4QUMDMY4,2,43,46,N,Y
RX2HYVRKSKUXL,5,27,27,N,N
R3S3K6RX5RNI8T,5,56,56,N,Y
RNA87Z8293VR6,5,37,40,N,N
R16FACMOW1UQQS,4,20,20,N,Y
R3RK5A6SBJ2QSD,1,58,62,N,N
R3LMBS1ZFCR33J,5,29,30,N,Y
RUOLUTF8L9O8I,5,21,23,N,Y
R3IAEV13URPGBS,5,210,235,N,N
R2MASLAOPZZRGS,5,127,149,N,Y
R2JR5KKX9XQYJ9,4,29,29,N,Y
RER24OPTFPRRJ,5,26,28,N,Y
R2ICI6FFCXWMGG,2,441,456,N,N
R2KNCYZ4A9907S,1,22,25,N,Y
R2BYG8AV4CV12Z,4,44,46,N,Y
R1XEBZ8CGZUWL1,1,37,47,N,N
R22RDRELI24MYG,5,40,40,N,Y
RL9F8UQF6BTX4,5,24,26,N,Y
R3FLFCU4H15CES,1,27,29,N,N
R37FB1BBYRTFPE,5,32,38,N,N
R2PVKJ4AXCUYXP,5,39,39,N,Y
R2NIQMDCTWTNF3,4,42,42,N,Y
R383LS1IYYM003,5,20,24,N,N
R2TVN69DWJ1B48,3,197,202,N,Y
R1NKO0QRPIA2EA,5,84,86,N,Y
R2WI5QP7CG2DCD,5,33,35,N,Y
R2FLITQVKWXDF4,3,26,34,Y,N
R24C70AL62O8QO,5,26,34,N,N
R6N2USNZ41U00,5,67,73,N,N
RHZEIOAKGUVON,4,25,26,N,Y
RUMB1MR4JIXL,5,40,41,N,Y
R17P1LAXHK5I46,1,153,157,N,N
R2WSMOIJ27QKWO,5,101,120,N,N
R3TK7MCSPNM6JJ,2,30,31,N,Y
RLE99R5QMPRE7,5,86,88,N,Y
RG1LAEN1X860F,5,322,362,N,Y
REPOFPGUV3ZV,5,153,154,N,Y
R2HCWLCNAMSWO5,5,92,100,N,Y
R7MJL6UJIMX5H,5,26,26,N,Y
R2YR4T3A1CGYFP,5,32,32,N,Y
R1JZG607LXNBZU,3,42,48,N,Y
R1LQDZSQ0VM67Q,5,41,41,N,Y
RZ8UDEXXNAWR5,5,35,43,N,N
R2K2XG395UV04Y,1,71,74,N,Y
R18KK96S07QTMW,5,23,27,N,N
R2PEF3QW2H76WJ,4,45,45,N,Y
R1NCOXYPUFRTDI,5,27,30,N,Y
R3G4JR179M9RI1,5,33,33,N,Y
R1B6TLKD4H5FYI,4,45,52,N,N
R2PXCPC21P52HI,1,46,48,N,Y
R1RUU521Q25ETN,5,94,99,N,Y
RBBYEDNPLFNVP,5,30,31,N,Y
R29TXO59H8P0XW,5,44,45,N,Y
R3M7QAGV9GMDOI,5,38,38,N,Y
R1C4KRHTCYG17W,4,33,37,N,Y
R2Q76KDVOY51F9,4,83,94,N,N
ROJOWWTPXK4ZY,1,118,134,N,N
RMBYAZOH84JCM,5,21,21,N,Y
R18DRUWRZ372C5,3,21,29,N,Y
R3YL55TI1JJXS,5,20,26,N,N
R3D39QJ8EWIQ45,1,25,26,N,Y
R1YFJJJOQWW008,5,40,44,N,N
RQKR394ZFZ38V,5,97,104,N,N
R3RJXH7SZSHGJW,5,40,41,N,Y
RSNME28MGXRIT,1,62,63,N,Y
RR9K1GIB6KPGC,2,39,45,N,N
RTDJTIJ56VF4U,5,26,26,N,N
R1IFYTTW2DBLK,1,280,315,N,Y
R214NMHVED9VZ4,5,40,40,N,Y
R2EGBAL3A20QR5,3,21,23,N,Y
R2JRFSAIH3KE5M,1,167,197,N,Y
R5Q2D4JBR7OVG,5,26,28,N,Y
R1CH20LW1QU7F7,5,37,37,N,Y
RQI15IQKAZ4VV,2,22,23,N,N
R147ZU7KAESJWR,5,52,54,N,Y
R2VY522H1FTUU0,5,21,22,N,N
R338U214YFLCYF,5,165,175,N,Y
R3R0V59ERGE5X,5,37,38,N,Y
R1CQBZLB5RU7ML,1,30,32,N,Y
RGRT6H741CTGB,5,89,90,N,Y
R2LREH8JZB0LV6,5,20,20,N,Y
R2FMRHBK4AW802,1,97,114,N,Y
R27S4TAESDNH1R,4,91,96,N,Y
R2YEN41I8NVDG2,3,28,29,N,N
R3FTY38B2L25PX,5,69,74,N,Y
R2A80CHV4Z71SJ,5,61,70,N,Y
RWOWIFCXGT29X,5,29,30,N,Y
R1ZH9QBGLFKGUW,1,37,42,N,Y
R3K6MDG7M963BS,1,25,32,N,Y
R4GO0YTR89S59,4,22,25,N,N
R3NFD7FJXI9GBN,4,26,30,N,Y
R3LUJLPC4T5E8B,1,20,20,N,Y
R3VSY0CM1B62IG,5,119,122,N,Y
REJO97DXAK6Q6,5,119,121,N,Y
R39ZTHXHB6K2FN,5,31,32,N,Y
R2RH5O29JPIB5Z,5,21,21,N,Y
R2FOU5AZL5PPVX,5,35,36,N,N
RHIEH6ZJ5LU7B,5,77,81,N,Y
R19SPGTAG261XX,1,26,26,N,Y
R3VOT777EBYT2G,5,23,24,N,N
R39KI2S1V3NT90,3,25,30,N,Y
R3BE1RDP42HD3Q,1,60,65,N,Y
R2G4XX5VRZBLWD,5,40,40,N,Y
R24ZQR8G0AMY4T,5,22,27,N,N
R2JM558ZGSJRTQ,5,26,28,N,Y
R1OIHM22DM3OP9,2,29,34,N,Y
R1H3UXEJSORL9L,3,41,47,N,Y
R3P3MAXCM7IGNQ,1,131,137,N,Y
R2RJ7KUFES78VC,5,517,528,N,Y
R3T7NAEGUV7IWH,1,32,34,N,Y
R18KIYNA2DRPN9,2,24,26,N,Y
R3834E3APM51P8,5,25,27,N,Y
RXTVMZG36FPR9,1,29,34,N,Y
R2OZ2IQZ0IWRQE,5,39,39,N,Y
R31ETF7BIXPZ05,5,163,167,N,Y
R24JGR63WJE4RN,5,36,37,N,N
R3GSFFDNAA578X,5,105,106,N,Y
R36DIDPEHYMTTH,2,23,31,N,Y
R1XHVKRYPB7CUQ,5,20,21,N,Y
RGBFE8Z6U0NOW,5,41,46,N,Y
R2NM382YE04DPB,5,22,22,N,N
R1AC4HN0TUDDAV,1,38,41,N,Y
RIQ8WO5NR8UDT,5,34,36,N,Y
R2JJD0DVZQ6FCX,5,30,40,N,N
R1OTHUHK24DJ8O,2,23,24,N,Y
R3JJFTUSVJ6CR9,5,164,168,N,Y
R3C65R1PK6L36Q,5,25,25,N,Y
R2BRU15W5R292N,5,34,36,N,Y
R89GS2V4SEFA8,5,88,96,N,N
R1KJ7B4LFYMIP0,5,21,23,N,N
R169HATGT3SNIQ,4,83,98,N,N
R19OS8GTYOGD2X,5,37,37,N,Y
R3SDGXQLURYTIT,2,94,94,N,Y
R19TZ722VV2XRE,1,64,82,N,N
RZDYFXDZLLB3X,1,20,20,N,Y
R20T5DZS6KU1T0,3,89,98,N,Y
R2YG6ZHL4UZ76O,3,23,27,N,N
R11BLLQULW0NZN,3,158,168,N,Y
R38Q071CS1QT5E,2,28,29,N,Y
R398DP6V7R0U2F,1,26,31,N,N
RTUIVZ7NY18ST,1,24,25,N,Y
RWV35RLQHXBJP,5,35,35,N,Y
R34U3XLR2XAK0Q,5,33,36,N,N
R1XFPPHB5QLWBO,1,22,26,N,Y
RK69K535O3E6T,5,25,30,N,N
R2VB3BZQN12ZWV,5,21,21,N,Y
RVE5X39MXPWEW,4,23,24,N,N
R1VB3IMLMJ241W,1,252,268,N,Y
R18NC69T0KEC00,5,20,23,Y,N
R1QEHI5KKS8EN5,4,124,135,N,N
R1KK35QJZPLR8,5,49,56,N,Y
R1S573YQYQV7HG,1,20,22,N,N
R29BEDQVPUBGRQ,5,36,38,N,Y
